Variable,Mean,Standard Deviation,Median,Q1,Q3,Min,Max
Loan Period,10.45,1.85,11.0,9.0,12.0,7.0,15.0
Cancel Count,0.61,1.67,0.0,0.0,1.0,0.0,47.0
Fail Count,0.89,1.51,0.0,0.0,1.0,0.0,14.0
Success Count,1.8,1.28,1.0,1.0,2.0,1.0,9.0
Total Count,3.31,3.26,2.0,1.0,4.0,1.0,48.0
Success Rate,0.71,0.3,0.8,0.5,1.0,0.0,1.0
Region,0.52,0.5,1.0,0.0,1.0,0.0,1.0
Age,36.02,6.41,35.0,32.0,40.0,21.0,68.0
Credit Score,629.25,129.44,638.0,577.0,706.0,0.0,950.0
Monthly Income,261.2,228.92,200.0,160.0,300.0,0.0,6000.0
Loan Amount,412.98,292.37,300.0,200.0,500.0,100.0,5000.0
Loan Interest Rate,0.32,0.05,0.3,0.3,0.4,0.0,0.6
Monthly DTI,0.37,0.37,0.3,0.2,0.5,0.0,5.0
Number of Investors,34.54,23.05,30.0,17.0,48.0,0.0,164.0
